x_opt: [3, 6, 2, 7, 1, 4, 0, 5], f_opt: 28, iterations: 721, remaining: 37
x_opt: [6, 5, 3, 4, 2, 7, 0, 1], f_opt: 28, iterations: 1, remaining: 36
x_opt: [3, 5, 7, 1, 6, 0, 2, 4], f_opt: 28, iterations: 124, remaining: 35
x_opt: [6, 7, 2, 4, 5, 0, 3, 1], f_opt: 28, iterations: 1, remaining: 34
x_opt: [3, 6, 4, 1, 5, 0, 2, 7], f_opt: 28, iterations: 4594, remaining: 33
x_opt: [0, 3, 7, 1, 5, 6, 4, 2], f_opt: 28, iterations: 1, remaining: 33
x_opt: [4, 7, 3, 0, 2, 5, 1, 6], f_opt: 28, iterations: 250, remaining: 32
x_opt: [0, 3, 4, 1, 6, 5, 2, 7], f_opt: 28, iterations: 1, remaining: 32
x_opt: [2, 5, 7, 1, 3, 0, 6, 4], f_opt: 28, iterations: 946, remaining: 31
x_opt: [2, 5, 0, 6, 7, 3, 1, 4], f_opt: 28, iterations: 1, remaining: 30
x_opt: [3, 6, 0, 7, 4, 1, 5, 2], f_opt: 28, iterations: 35, remaining: 29
x_opt: [4, 7, 2, 1, 0, 5, 3, 6], f_opt: 28, iterations: 1, remaining: 28
x_opt: [6, 2, 7, 1, 4, 0, 5, 3], f_opt: 28, iterations: 427, remaining: 27
x_opt: [6, 5, 2, 4, 1, 3, 7, 0], f_opt: 28, iterations: 1, remaining: 27
x_opt: [4, 2, 7, 3, 6, 0, 5, 1], f_opt: 28, iterations: 1421, remaining: 26
x_opt: [3, 5, 2, 1, 4, 6, 0, 7], f_opt: 28, iterations: 1, remaining: 25
x_opt: [7, 1, 3, 0, 6, 4, 2, 5], f_opt: 28, iterations: 87, remaining: 24
x_opt: [1, 2, 3, 5, 4, 0, 7, 6], f_opt: 28, iterations: 1, remaining: 23
x_opt: [2, 4, 1, 7, 0, 6, 3, 5], f_opt: 28, iterations: 922, remaining: 22
x_opt: [0, 4, 5, 2, 1, 3, 7, 6], f_opt: 28, iterations: 1, remaining: 21
x_opt: [3, 6, 4, 2, 0, 5, 7, 1], f_opt: 28, iterations: 589, remaining: 20
x_opt: [0, 7, 3, 5, 2, 4, 6, 1], f_opt: 28, iterations: 1, remaining: 19
x_opt: [0, 5, 7, 2, 6, 3, 1, 4], f_opt: 28, iterations: 264, remaining: 18
x_opt: [5, 7, 0, 4, 6, 1, 2, 3], f_opt: 28, iterations: 1, remaining: 17
x_opt: [2, 0, 6, 4, 7, 1, 3, 5], f_opt: 28, iterations: 3499, remaining: 16
x_opt: [7, 4, 6, 0, 1, 3, 2, 5], f_opt: 28, iterations: 1, remaining: 15
x_opt: [4, 2, 0, 6, 1, 7, 5, 3], f_opt: 28, iterations: 398, remaining: 14
x_opt: [1, 6, 2, 0, 5, 4, 3, 7], f_opt: 28, iterations: 1, remaining: 13
x_opt: [6, 2, 7, 1, 4, 0, 5, 3], f_opt: 28, iterations: 388, remaining: 12
x_opt: [6, 3, 7, 5, 1, 2, 4, 0], f_opt: 28, iterations: 1, remaining: 12
x_opt: [5, 2, 6, 3, 0, 7, 1, 4], f_opt: 28, iterations: 51, remaining: 11
x_opt: [4, 7, 3, 5, 1, 2, 6, 0], f_opt: 28, iterations: 1, remaining: 11
x_opt: [1, 4, 6, 0, 2, 7, 5, 3], f_opt: 28, iterations: 3, remaining: 10
x_opt: [0, 2, 7, 6, 5, 4, 1, 3], f_opt: 28, iterations: 1, remaining: 9
x_opt: [3, 5, 0, 4, 1, 7, 2, 6], f_opt: 28, iterations: 61, remaining: 8
x_opt: [1, 4, 6, 0, 2, 7, 5, 3], f_opt: 28, iterations: 1, remaining: 7
x_opt: [2, 5, 1, 6, 4, 0, 7, 3], f_opt: 28, iterations: 188, remaining: 7
x_opt: [0, 2, 3, 4, 7, 5, 1, 6], f_opt: 28, iterations: 1, remaining: 6
x_opt: [5, 3, 6, 0, 2, 4, 1, 7], f_opt: 28, iterations: 288, remaining: 5
x_opt: [2, 4, 3, 5, 6, 1, 7, 0], f_opt: 28, iterations: 1, remaining: 5
x_opt: [5, 2, 4, 6, 0, 3, 1, 7], f_opt: 28, iterations: 330, remaining: 4
x_opt: [3, 2, 0, 1, 6, 4, 5, 7], f_opt: 28, iterations: 1, remaining: 3
x_opt: [1, 5, 0, 6, 3, 7, 2, 4], f_opt: 28, iterations: 1355, remaining: 2
x_opt: [0, 1, 2, 6, 3, 4, 5, 7], f_opt: 28, iterations: 1, remaining: 2
x_opt: [5, 1, 6, 0, 3, 7, 4, 2], f_opt: 28, iterations: 105, remaining: 1
