T      Tempo
100 | 3.343
101 | 3.424
102 | 3.675
103 | 3.193
104 | 2.422
105 | 3.241
106 | 3.679
107 | 4.900
108 | 5.462
109 | 4.239
110 | 2.433
111 | 3.100
112 | 5.701
113 | 3.775
114 | 5.204
115 | 4.169
116 | 5.278
117 | 4.384
118 | 3.823
119 | 3.715
120 | 3.330
121 | 3.447
122 | 4.211
123 | 4.156
124 | 5.662
125 | 4.129
126 | 4.360
127 | 4.966
128 | 4.741
129 | 2.451
130 | 2.505
131 | 5.104
132 | 4.576
133 | 3.662
134 | 3.751
135 | 4.729
136 | 4.569
137 | 4.498
138 | 3.649
139 | 3.696
140 | 3.616
141 | 3.413
142 | 4.031
143 | 4.301
144 | 4.821
145 | 3.694
146 | 4.151
147 | 5.570
148 | 3.311
149 | 3.941
150 | 3.326
